Key,english,german,latam,french,italian,japanese,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
goPowerPerPanel,Base Watts per solar cell,"Basis Watt für Solarzellen","Vatios de base por célula solar",Base Watts par cellule solaire,Watt di base per cella solare,"太陽電池セルあたりの基本ワット数","Waty bazowe na ogniwo słoneczne","Base Watts por célula solar","Базовые ватты на солнечный элемент","Güneş pili başına Baz Watt","每个太阳能电池的基本瓦特数","每個太陽能電池的基本瓦特數","Vatios de base por célula solar","Базови ватове на слънчева клетка","Základní watty na solární článek",Basis watt pr. solcelle,"Βάση Watt ανά ηλιακό κύτταρο","Baasvatt ühe päikesepatarei kohta",Peruswatti aurinkokennoa kohti,"Bázis Watt per napelem",Watt dasar per sel surya,"Baziniai vatai vienam saulės elementui","Bāzes vati uz saules bateriju",Basis watt per zonnecel,"Baza Watts per celulă solară","Základné watty na solárny článok","Osnovni vati na sončno celico",Bas Watt per solcell
goPowerPerPanelDesc,Amount of power a regular single solar cell generates. Final value depends on (optional) tier quality and on `OutputPerStack` config.,"Basis Strom-Wert für eine einzelene reguläre Solarzelle. Der finale Wert hängt (optional) auch von der Qualität und von der `OutputPerStack` Konfiguration ab.","Cantidad de energía que genera una célula solar normal. El valor final depende de la calidad del nivel (opcional) y de la configuración `OutputPerStack`.","Quantité d'énergie générée par une seule cellule solaire. La valeur finale dépend de la qualité du niveau (optionnel) et de la configuration `OutputPerStack`.","Quantità di energia generata da una singola cella solare. Il valore finale dipende dalla qualità del livello (opzionale) e dalla configurazione `OutputPerStack`.","通常の単一太陽電池が発電する電力量。最終的な値は(オプションの)層の質と`OutputPerStack`の設定に依存する。","Ilość energii generowanej przez pojedyncze ogniwo słoneczne. Ostateczna wartość zależy od (opcjonalnej) jakości poziomu i konfiguracji `OutputPerStack`.","Quantidade de energia gerada por uma única célula solar comum. O valor final depende da qualidade da camada (opcional) e da configuração `OutputPerStack`.","Количество энергии, вырабатываемой обычным одиночным солнечным элементом. Окончательное значение зависит от (опционально) качества яруса и от конфигурации `OutputPerStack`.","Normal tek bir güneş hücresinin ürettiği güç miktarı. Nihai değer (isteğe bağlı) katman kalitesine ve `OutputPerStack` yapılandırmasına bağlıdır.","普通单个太阳能电池产生的电量。最终值取决于（可选）层质量和 `OutputPerStack` 配置。","普通單個太陽能電池[產産]生的電量。最終值取决于（可選）層質量和 `OutputPerStack` 配置。","Cantidad de energía que genera una célula solar normal. El valor final depende de la calidad del nivel (opcional) y de la configuración `OutputPerStack`.","Количеството енергия, което генерира една обикновена слънчева клетка. Крайната стойност зависи от (незадължително) качеството на нивата и от конфигурацията `OutputPerStack`.","Množství energie, které vyprodukuje jeden běžný solární článek. Konečná hodnota závisí na (volitelné) kvalitě vrstvy a na konfiguraci `OutputPerStack`.","Mængden af strøm, som en almindelig solcelle genererer. Den endelige værdi afhænger af (valgfri) niveaukvalitet og af `OutputPerStack`-konfigurationen.","Ποσότητα ισχύος που παράγει ένα απλό ηλιακό κύτταρο. Η τελική τιμή εξαρτάται από την (προαιρετική) ποιότητα της βαθμίδας και από τη διαμόρφωση ""OutputPerStack"".","Ühe tavalise päikesepatarei toodetud energia hulk. Lõplik väärtus sõltub (valikulisest) tasandi kvaliteedist ja `OutputPerStack` konfiguratsioonist.","Yksittäisen aurinkokennon tuottama teho. Lopullinen arvo riippuu (valinnaisesta) tason laadusta ja `OutputPerStack` -asetuksista.","Egyetlen napelem által termelt energia mennyisége. A végső érték függ a (választható) szint minőségétől és az `OutputPerStack` konfigurációtól.",Jumlah daya yang dihasilkan sel surya tunggal biasa. Nilai akhir tergantung pada kualitas tingkat (opsional) dan konfigurasi `OutputPerStack`.,"Vieno įprasto saulės elemento generuojamos energijos kiekis. Galutinė vertė priklauso nuo (neprivaloma) pakopos kokybės ir `OutputPerStack` konfigūracijos.","Parastas vienas saules baterijas saražotās enerģijas daudzums. Galīgā vērtība ir atkarīga no (pēc izvēles) līmeņu kvalitātes un `OutputPerStack` konfigurācijas.",De hoeveelheid stroom die een gewone zonnecel genereert. De uiteindelijke waarde hangt af van de (optionele) kwaliteit van het niveau en van de configuratie `OutputPerStack`.,"Cantitatea de energie generată de o singură celulă solară obișnuită. Valoarea finală depinde de calitatea (opțională) a nivelului și de configurația `OutputPerStack`.","Množstvo energie, ktoré vyprodukuje jeden bežný solárny článok. Konečná hodnota závisí od (voliteľnej) kvality vrstvy a od konfigurácie `OutputPerStack`.","Količina energije, ki jo proizvede navadna posamezna sončna celica. Končna vrednost je odvisna od (neobvezne) kakovosti nivoja in konfiguracije `OutputPerStack`.","Mängden ström som en vanlig enskild solcell genererar. Slutvärdet beror på (valfri) nivåkvalitet och på `OutputPerStack`-konfigurationen."
goPowerPerEngine,Base Watts per diesel engine,"Basis Watt für Motoren","Vatios de base por motor diésel",Watts de base par moteur diesel,Watt di base per motore diesel,"ディーゼルエンジン1基あたりの基本ワット数","Waty bazowe na silnik wysokoprężny",Base Watts por motor diesel,"Базовая мощность в ваттах на один дизельный двигатель","Dizel motor başına Baz Watt","每台柴油发动机的基本瓦特数","每[台臺檯颱]柴油[發髮]動[机機]的基本瓦特數","Vatios de base por motor diésel","Базови ватове за дизелов двигател","Základní výkony na vznětový motor",Basiswatt pr. dieselmotor,"Βάση Watts ανά κινητήρα ντίζελ","Baasvatt ühe diiselmootori kohta",Peruswatit dieselmoottoria kohti,"Bázis watt dízelmotoronként",Watt dasar per mesin diesel,"Bazinė galia vatais vienam dyzeliniam varikliui","Bāzes vati uz dīzeļdzinēju",Basisvermogen per dieselmotor,"Numărul de wați de bază pentru fiecare motor diesel","Základný výkon vo wattoch na dieselový motor",Osnovni vati na dizelski motor,Bas Watt per dieselmotor
goPowerPerEngineDesc,Amount of power a regular single diesel engine generates. Final value depends on (optional) tier quality and on `OutputPerStack` config.,"Basis Strom-Wert für einen einzelenen regulären Motor. Der finale Wert hängt (optional) auch von der Qualität und von der `OutputPerStack` Konfiguration ab.","Cantidad de potencia que genera un motor diésel normal. El valor final depende de la calidad del nivel (opcional) y de la configuración `OutputPerStack`.","Quantité de puissance générée par un moteur diesel simple. La valeur finale dépend de la qualité du niveau (optionnel) et de la configuration `OutputPerStack`.","Quantità di potenza generata da un normale motore diesel singolo. Il valore finale dipende dalla qualità del livello (opzionale) e dalla configurazione `OutputPerStack`.","通常のシングルディーゼルエンジンが発生させる電力量。最終的な値は (オプションの) 階層の質と `OutputPerStack` 設定に依存する。","Ilość mocy generowanej przez pojedynczy silnik diesla. Ostateczna wartość zależy od (opcjonalnej) jakości poziomu i konfiguracji `OutputPerStack`.","Quantidade de energia gerada por um único motor diesel comum. O valor final depende da qualidade da camada (opcional) e da configuração `OutputPerStack`.","Количество энергии, вырабатываемой обычным одиночным дизельным двигателем. Окончательное значение зависит от (опционально) качества яруса и от конфигурации `OutputPerStack`.","Normal tek bir dizel motorun ürettiği güç miktarı. Nihai değer (isteğe bağlı) kademe kalitesine ve `OutputPerStack` yapılandırmasına bağlıdır.","普通单个柴油发动机产生的功率。最终值取决于（可选）层级质量和 `OutputPerStack` 配置。","普通單個柴油[發髮]動[机機][產産]生的功率。最終值取决于（可選）層級質量和 `OutputPerStack` 配置。","Cantidad de potencia que genera un motor diésel normal. El valor final depende de la calidad del nivel (opcional) y de la configuración `OutputPerStack`.","Количеството мощност, което генерира един обикновен дизелов двигател. Крайната стойност зависи от (незадължително) качеството на нивата и от конфигурацията `OutputPerStack`.","Množství výkonu, které vyprodukuje běžný jednoduchý vznětový motor. Konečná hodnota závisí na (volitelné) kvalitě úrovně a na konfiguraci `OutputPerStack`.","Mængden af effekt, som en almindelig enkelt dieselmotor genererer. Den endelige værdi afhænger af (valgfri) niveaukvalitet og af `OutputPerStack`-konfigurationen.","Ποσότητα ισχύος που παράγει ένας κανονικός απλός κινητήρας ντίζελ. Η τελική τιμή εξαρτάται από την (προαιρετική) ποιότητα της βαθμίδας και από τη διαμόρφωση `OutputPerStack`.","Ühe tavalise diiselmootori võimsus. Lõplik väärtus sõltub (valikulisest) tasandi kvaliteedist ja `OutputPerStack` seadistusest.","Tavallisen yksittäisen dieselmoottorin tuottama teho. Lopullinen arvo riippuu (valinnaisesta) tason laadusta ja `OutputPerStack` -asetuksesta.","A normál, egyetlen dízelmotor által termelt teljesítmény mennyisége. A végső érték a (választható) szint minőségétől és az `OutputPerStack` konfigurációtól függ.",Jumlah daya yang dihasilkan mesin diesel tunggal biasa. Nilai akhir tergantung pada kualitas tingkat (opsional) dan konfigurasi `OutputPerStack`.,"Įprasto vieno dyzelinio variklio generuojamos galios kiekis. Galutinė vertė priklauso nuo (neprivalomos) pakopos kokybės ir `OutputPerStack` konfigūracijos.","Parastā viena dīzeļdzinēja ģenerētās jaudas daudzums. Galīgā vērtība ir atkarīga no (pēc izvēles) līmeņu kvalitātes un `OutputPerStack` konfigurācijas.",Hoeveelheid vermogen dat een gewone enkele dieselmotor genereert. De uiteindelijke waarde hangt af van de (optionele) kwaliteit van het niveau en van de configuratie `OutputPerStack`.,"Cantitatea de putere generată de un singur motor diesel obișnuit. Valoarea finală depinde de calitatea nivelului (opțional) și de configurația `OutputPerStack`.","Množstvo výkonu, ktoré vyprodukuje bežný jednoduchý dieselový motor. Konečná hodnota závisí od (voliteľnej) kvality úrovne a od konfigurácie `OutputPerStack`.","Količina moči, ki jo proizvede običajni enojni dizelski motor. Končna vrednost je odvisna od (neobvezne) kakovosti nivoja in konfiguracije `OutputPerStack`.","Mängden kraft som en vanlig enkel dieselmotor genererar. Slutvärdet beror på (valfri) nivåkvalitet och på `OutputPerStack`-konfigurationen."
goPowerPerBattery,Base Watts per battery,"Basis Watt für Batterien","Vatios de base por batería",Base Watts par batterie,Watt di base per batteria,"バッテリーあたりの基本ワット数",Waty bazowe na akumulator,Base Watts por bateria,"Базовая мощность в ваттах на батарею","Akü başına Baz Watt","每个电池的基本瓦特数","每個電池的基本瓦特數","Vatios de base por batería","Базови ватове за батерия","Základní výkony na baterii",Basis watt pr. batteri,"Βάση Watt ανά μπαταρία",Baasvatt aku kohta,Peruswatit akkua kohti,"Bázis watt akkumulátorként",Watt dasar per baterai,"Bazinės vatos vienam akumuliatoriui","Bāzes vati uz akumulatoru",Basis watt per batterij,"Watt de bază pe baterie","Základné watty na batériu",Osnovni vati na baterijo,Bas Watt per batteri
goPowerPerBatteryDesc,Amount of power a regular single battery generates. Final value depends on (optional) tier quality and on `OutputPerStack` config.,"Basis Strom-Wert für eine einzelene reguläre Battrie. Der finale Wert hängt (optional) auch von der Qualität und von der `OutputPerStack` Konfiguration ab.","Cantidad de energía que genera una sola pila normal. El valor final depende de la calidad del nivel (opcional) y de la configuración `OutputPerStack`.","Quantité d'énergie générée par une batterie ordinaire. La valeur finale dépend de la qualité du niveau (optionnel) et de la configuration `OutputPerStack`.","Quantità di energia generata da una normale batteria singola. Il valore finale dipende dalla qualità del livello (opzionale) e dalla configurazione `OutputPerStack`.","通常の単一バッテリーが生成する電力量。最終的な値は(オプションの)層の質と`OutputPerStack`の設定に依存する。","Ilość energii generowanej przez pojedynczą baterię. Ostateczna wartość zależy od (opcjonalnej) jakości poziomu i konfiguracji `OutputPerStack`.","Quantidade de energia gerada por uma única bateria comum. O valor final depende da qualidade da camada (opcional) e da configuração `OutputPerStack`.","Количество энергии, вырабатываемой обычным одиночным аккумулятором. Окончательное значение зависит от (опционально) качества яруса и от конфигурации `OutputPerStack`.","Normal tek bir pilin ürettiği güç miktarı. Nihai değer (isteğe bağlı) katman kalitesine ve `OutputPerStack` yapılandırmasına bağlıdır.","普通单块电池产生的电量。最终值取决于（可选）层质量和 `OutputPerStack` 配置。","普通單塊電池[產産]生的電量。最終值取决于（可選）層質量和 `OutputPerStack` 配置。","Cantidad de energía que genera una sola pila normal. El valor final depende de la calidad del nivel (opcional) y de la configuración `OutputPerStack`.","Количеството енергия, което генерира една обикновена батерия. Крайната стойност зависи от (незадължително) качеството на нивата и от конфигурацията `OutputPerStack`.","Množství energie, které generuje běžná jednotlivá baterie. Konečná hodnota závisí na (volitelné) kvalitě vrstvy a na konfiguraci `OutputPerStack`.","Mængden af strøm, som et almindeligt enkelt batteri genererer. Den endelige værdi afhænger af (valgfri) niveaukvalitet og af `OutputPerStack`-konfigurationen.","Ποσότητα ενέργειας που παράγει μια κανονική μπαταρία. Η τελική τιμή εξαρτάται από την (προαιρετική) ποιότητα της βαθμίδας και από τη ρύθμιση ""OutputPerStack"".","Ühe tavalise aku toodetud energia hulk. Lõplik väärtus sõltub (valikulisest) tasemekvaliteedist ja `OutputPerStack` konfiguratsioonist.","Tavallisen yksittäisen akun tuottama teho. Lopullinen arvo riippuu (valinnaisesta) tason laadusta ja `OutputPerStack` -asetuksista.","Egy normál akkumulátor által termelt energia mennyisége. A végső érték a (választható) szint minőségétől és az ""OutputPerStack"" konfigurációtól függ.",Jumlah daya yang dihasilkan oleh satu baterai biasa. Nilai akhir tergantung pada kualitas tingkat (opsional) dan konfigurasi `OutputPerStack`.,"Įprasto vieno akumuliatoriaus generuojamos energijos kiekis. Galutinė vertė priklauso nuo (neprivaloma) pakopos kokybės ir `OutputPerStack` konfigūracijos.","Parastas vienas baterijas ģenerētās enerģijas daudzums. Galīgā vērtība ir atkarīga no (pēc izvēles) līmeņu kvalitātes un `OutputPerStack` konfigurācijas.",Hoeveelheid energie die een normale enkele batterij genereert. De uiteindelijke waarde hangt af van de (optionele) kwaliteit van het niveau en van de `OutputPerStack` configuratie.,"Cantitatea de energie generată de o singură baterie obișnuită. Valoarea finală depinde de calitatea (opțională) a nivelului și de configurația `OutputPerStack`.","Množstvo energie, ktoré generuje bežná batéria. Konečná hodnota závisí od (voliteľnej) kvality vrstvy a od konfigurácie `OutputPerStack`.","Količina energije, ki jo proizvede običajna enojna baterija. Končna vrednost je odvisna od (neobvezne) kakovosti nivoja in konfiguracije `OutputPerStack`.","Mängden ström som ett vanligt enskilt batteri genererar. Slutvärdet beror på (valfri) nivåkvalitet och på `OutputPerStack`-konfigurationen."
goDegradationFactor,Wear Factor,Abnutzungsfaktor,Factor de desgaste,"Facteur d'usure",Fattore di usura,"摩耗係数","Współczynnik zużycia",Fator de desgaste,"Коэффициент износа","Aşınma Faktörü","磨损系数","磨損[系係繫]數",Factor de desgaste,"Фактор на износване","Faktor opotřebení",Slidfaktor,"Παράγοντας φθοράς",Kulumise tegur,"Kulumistekijä","Kopási tényező",Faktor Keausan,"Nusidėvėjimo faktorius",Nodiluma faktors,Slijtagefactor,"Factor de uzură",Faktor opotrebenia,Dejavnik obrabe,Slitagefaktor
goDegradationFactorDesc,Adjust how much solar panels and windmill generators (slot items) degrade over time.,"Passen Sie an, wie stark sich Solarpaneele und Windradgeneratoren (Slot Items) mit der Zeit abbauen.","Ajusta cuánto se degradan con el tiempo los paneles solares y los generadores eólicos (elementos de ranura).","Ajustez la dégradation des panneaux solaires et des générateurs éoliens (objets à fente) au fil du temps.",Regolare il degrado dei pannelli solari e dei generatori a vento (oggetti slot) nel tempo.,"ソーラーパネルや風車発電機（スロットアイテム）の経年劣化を調整する。","Dostosuj stopień degradacji paneli słonecznych i generatorów wiatraków (przedmiotów slotowych) w czasie.","Ajuste o grau de degradação dos painéis solares e geradores de moinhos de vento (itens de slot) ao longo do tempo.","Регулировать степень деградации солнечных батарей и ветрогенераторов (слотовые предметы) с течением времени.","Güneş panellerinin ve yel değirmeni jeneratörlerinin (slot öğeleri) zaman içinde ne kadar bozulacağını ayarlayın.","调整太阳能电池板和风车发电机（插槽物品）随时间衰减的程度。","調整太陽能電池[板闆]和風車[發髮]電[机機]（插槽物品）隨時間衰减的程度。","Ajusta cuánto se degradan con el tiempo los paneles solares y los generadores eólicos (elementos de ranura).","Регулирайте степента на разграждане на слънчевите панели и вятърните генератори (елементи с прорез) с течение на времето.","Upravte, jak moc se solární panely a větrné generátory (položky se slotem) časem znehodnotí.","Juster, hvor meget solpaneler og vindmøllegeneratorer (slot items) nedbrydes over tid.","Ρυθμίστε πόσο υποβαθμίζονται με την πάροδο του χρόνου οι ηλιακοί συλλέκτες και οι γεννήτριες ανεμόμυλων (αντικείμενα υποδοχής).","Reguleerige, kui palju päikesepaneelid ja tuulegeneraatorid (pesa) aja jooksul lagunevad.","Säädä, kuinka paljon aurinkopaneelit ja tuulimyllygeneraattorit (slot items) heikkenevät ajan myötä.","Állítsa be, hogy a napelemek és a szélkerékgenerátorok (slot elemek) mennyire romlanak az idő múlásával.",Sesuaikan berapa banyak panel surya dan generator kincir angin (item slot) yang menurun dari waktu ke waktu.,"Nustatykite, kiek saulės baterijos ir vėjo malūnų generatoriai (lizdiniai elementai) laikui bėgant sunyksta.","Pielāgojiet, cik ļoti saules paneļi un vējdzirnavu ģeneratori (slotu elementi) laika gaitā degradējas.",Pas aan in welke mate zonnepanelen en windmolengeneratoren (slot-items) na verloop van tijd degraderen.,"Reglați gradul de degradare în timp a panourilor solare și a generatoarelor eoliene (elemente de slot).","Upravte, ako veľmi sa solárne panely a veterné generátory (položky so slotmi) časom znehodnotia.","Prilagodite, koliko se sončne plošče in generatorji vetrnic (predmeti z režami) sčasoma poslabšajo.","Justera hur mycket solpaneler och vindkraftverk (slot-objekt) försämras över tid."
goBatteryChargePercentFull,Charge factor when full,Lade-Faktor wenn Voll,"Factor de carga cuando está lleno","Facteur de charge à plein régime",Fattore di carica a pieno regime,"満充電時の充電率","Współczynnik naładowania przy pełnym naładowaniu",Fator de carga quando cheio,"Коэффициент заряда при полной зарядке","Dolu olduğunda şarj faktörü","充满时的充电因数","充滿時的充電因數","Factor de carga cuando está lleno","Коефициент на зареждане при пълно зареждане","Faktor nabíjení při plném nabití","Opladningsfaktor, når den er fuld","Συντελεστής φόρτισης όταν είναι πλήρης","Laadimistegur täiskoormuse korral","Latauskerroin täyteen ladattuna","Töltési tényező, ha tele van",Faktor pengisian daya saat penuh,"Įkrovos koeficientas, kai pilna","Uzlādes koeficients, kad ir pilns",Laadfactor bij vol,"Factorul de încărcare când este plin","Faktor nabíjania pri plnom stave",Faktor polnjenja pri polni obremenitvi,"Laddningsfaktor när full"
goBatteryChargePercentFullDesc,Nearly full batteries charge slower than nearly empty ones.,Fast volle Batterien laden langsamer als fast leere.,"Las baterías casi llenas se cargan más lentamente que las casi vacías.",Les batteries presque pleines se chargent plus lentement que les batteries presque vides.,"Le batterie quasi piene si caricano più lentamente di quelle quasi vuote.","ほぼ満タンのバッテリーは、ほぼ空のバッテリーよりも充電速度が遅い。","Prawie pełne baterie ładują się wolniej niż prawie puste.",Baterias quase cheias carregam mais lentamente do que as quase vazias.,"Почти полные аккумуляторы заряжаются медленнее, чем почти разряженные.","Neredeyse dolu piller, neredeyse boş olanlardan daha yavaş şarj olur.","几乎充满的电池比几乎没有电的电池充电慢。","[几幾]乎充滿的電池比[几幾]乎没有電的電池充電慢。","Las baterías casi llenas se cargan más lentamente que las casi vacías.","Почти пълните батерии се зареждат по-бавно от почти празните.","Téměř plné baterie se nabíjejí pomaleji než téměř prázdné.","Næsten fulde batterier oplades langsommere end næsten tomme.","Οι σχεδόν γεμάτες μπαταρίες φορτίζουν πιο αργά από τις σχεδόν άδειες.","Peaaegu täis akud laadivad aeglasemalt kui peaaegu tühjad akud.","Lähes täydet akut latautuvat hitaammin kuin lähes tyhjät.","A majdnem teli akkumulátorok lassabban töltődnek, mint a majdnem üresek.",Baterai yang hampir penuh mengisi daya lebih lambat daripada baterai yang hampir kosong.,"Beveik pilnos baterijos įkraunamos lėčiau nei beveik tuščios.","Gandrīz pilnas baterijas uzlādējas lēnāk nekā gandrīz tukšas.",Bijna volle batterijen laden langzamer op dan bijna lege batterijen.,"Bateriile aproape pline se încarcă mai lent decât cele aproape goale.","Takmer plné batérie sa nabíjajú pomalšie ako takmer prázdne.","Skoraj polne baterije se polnijo počasneje kot skoraj prazne.","Nästan fulla batterier laddas långsammare än nästan tomma."
goBatteryChargePercentEmpty,Charge factor when empty,Lade-Faktor wenn Leer,"Factor de carga en vacío","Facteur de charge à vide",Fattore di carica a vuoto,"空車時の充電係数","Współczynnik naładowania po opróżnieniu",Fator de carga quando vazio,"Коэффициент заряда в порожнем состоянии","Boşken şarj faktörü","空载时的充电系数","空載時的充電[系係繫]數","Factor de carga en vacío","Фактор на зареждане при празен автомобил","Faktor nabití naprázdno","Opladningsfaktor, når den er tom","Συντελεστής φόρτισης όταν είναι άδειο","Laadimistegur tühjalt","Latauskerroin tyhjänä","Töltési tényező üresen",Faktor pengisian daya saat kosong,"Įkrovos koeficientas, kai tuščia","Uzlādes koeficients, kad ir tukšs",Laadfactor bij leeg,"Factor de încărcare la gol","Faktor nabitia pri prázdnom stave","Faktor polnjenja, ko je prazen","Laddningsfaktor när den är tom"
goBatteryChargePercentEmptyDesc,Nearly empty batteries charge faster than nearly full ones.,Fast leere Batterien laden schneller als fast volle.,"Las baterías casi vacías se cargan más rápido que las casi llenas.",Les piles presque vides se rechargent plus rapidement que les piles presque pleines.,"Le batterie quasi vuote si caricano più velocemente di quelle quasi piene.","ほぼ空のバッテリーは、ほぼ満タンのバッテリーよりも充電が早い。","Prawie puste baterie ładują się szybciej niż prawie pełne.","Baterias quase vazias carregam mais rápido do que as quase cheias.","Почти разряженные аккумуляторы заряжаются быстрее, чем почти полные.","Neredeyse boş piller, neredeyse dolu olanlardan daha hızlı şarj olur.","快用完的电池比快充满的电池充电更快。","快用完的電池比快充滿的電池充電更快。","Las baterías casi vacías se cargan más rápido que las casi llenas.","Почти празните батерии се зареждат по-бързо от почти пълните.","Téměř prázdné baterie se nabíjejí rychleji než téměř plné.","Næsten tomme batterier oplades hurtigere end næsten fulde.","Οι σχεδόν άδειες μπαταρίες φορτίζουν γρηγορότερα από τις σχεδόν γεμάτες.","Peaaegu tühjad akud laadivad kiiremini kui peaaegu täis akud.","Lähes tyhjät akut latautuvat nopeammin kuin lähes täydet.","A majdnem üres akkumulátorok gyorsabban töltődnek, mint a majdnem teli.",Baterai yang hampir kosong mengisi daya lebih cepat daripada baterai yang hampir penuh.,"Beveik tušti akumuliatoriai įkraunami greičiau nei beveik pilni.","Gandrīz tukšas baterijas uzlādējas ātrāk nekā gandrīz pilnas.",Bijna lege batterijen laden sneller op dan bijna volle.,"Bateriile aproape goale se încarcă mai repede decât cele aproape pline.","Takmer prázdne batérie sa nabíjajú rýchlejšie ako takmer plné.",Skoraj prazne baterije se polnijo hitreje kot skoraj polne.,"Nästan tomma batterier laddas snabbare än nästan fulla."
goPowerFormat,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w
goPowerFormats,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w,{0}w
goPercentFormat,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%
goPercentFormats,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%,{0:0}%
xuiGameSettingsPower,Power,Strom,Potencia,Puissance,Potenza,"パワー",Moc,"Potência","Мощность","Güç","电源","電源",Potencia,"Захранване",Power,Kraft,"Ισχύς","Võimsus",Teho,"Teljesítmény",Daya,Maitinimas,Power,Stroom,Putere,"Napájanie",Napajanje,Kraft
xuiCharge,Charge,Laden,Carga,Charge,Carica,"チャージ","Opłata",Carga,"Зарядка","Ücretlendirme","收费","收費",Carga,"Зареждане","Nabíjení",Opladning,"Χρέωση",Laadimine,Lataus,"Töltés",Mengisi daya,Mokestis,"Uzlāde",Laad,"Încărcare","Nabíjanie",Polnjenje,Avgift
xuiSupplied,Consumer,Verbrauch,Consumidores,Consommateur,Consumatore,"消費者",Konsument,Consumidor,"Потребитель","Tüketici","消费者","消費者",Consumidores,"Потребители","Spotřebitel",Forbruger,"Καταναλωτής",Tarbija,Kuluttaja,"Fogyasztó",Konsumen,Vartotojai,"Patērētāji",Consument,Consumator,"Spotrebiteľ","Potrošniki",Konsument
xuiCharged,Charged,Geladen,Cargado,"Chargé",Addebitato,"有料","Naładowany",Cobrado,"Зарядка","Ücretli","收费","收費",Cargado,"Заредени",Nabito,"Opkrævet","Φορτισμένο",Laetud,Ladattu,"Feltöltve",Dibebankan,"Įkrautas","Uzlādēts",Opgeladen,"Încărcat","Nabité",Obremenjeni,Laddad
xuiLightLevel,Light,Licht,Luz,"Lumière",Luce,"ライト","Światło",Luz,"Свет","Işık","灯光","燈光",Luz,"Светлина","Světlo",Lys,"Φως",Valgus,Valo,"Fény",Cahaya,"Šviesa",Gaisma,Licht,"Lumină",Svetlo,Svetloba,Ljus
xuiWindLevel,Wind,Wind,Viento,Le vent,Vento,"風",Wiatr,Vento,"Ветер","Rüzgar","风","風",Viento,"Вятър","Vítr",Vind,"Άνεμος",Tuul,Tuuli,"Szél",Angin,"Vėjas","Vējš",Wind,"Vânt",Vietor,Veter,Vind
xuiFlow,Flow,Netz,Flujo,"Débit",Flusso,"フロー","Przepływ",Fluxo,"Поток","Akış","流量","流量",Flujo,"Поток","Průtok",Flow,"Ροή",Flow,Virtaus,Flow,Aliran,Srautas,"Plūsma",Stroom,Flux,Prietok,Pretok,"Flöde"
xuiOutput,Output,Produktion,Salida,Sortie,Uscita,"出力","Wyjście","Saída","Выход","Çıktı","输出","輸[出齣]",Salida,"Изход","Výstup",Output,"Έξοδος","Väljund","Lähtö",Kimenet,Keluaran,"Išėjimas",Izvades,Uitgang,"Ieșire","Výstup",Izhod,Produktion
xuiChargeTooltip,Charging power going into this battery bank.,Lade-Strom welcher in die Batterien fliesst.,"La energía de carga va a este banco de baterías.",Puissance de charge entrant dans ce groupe de batteries.,"L'energia di carica entra in questo banco di batterie.","このバッテリーバンクに入る充電電力。","Moc ładowania trafia do tego banku akumulatorów.",Energia de carregamento que vai para esse banco de baterias.,"Зарядное напряжение, поступающее в этот банк аккумуляторов.","Şarj gücü bu akü bankasına gidiyor.","为电池组充电","[為爲]電池組充電","La energía de carga va a este banco de baterías.","Зареждаща мощност, която се подава към тази акумулаторна батерия.","Nabíjecí energie přicházející do této bateriové banky.","Opladningsstrøm, der går ind i denne batteribank.","Ισχύς φόρτισης που εισέρχεται σε αυτή την τράπεζα μπαταριών.","Sellesse akupanka minev laadimisvõimsus.","Latausvirta menee tähän akkupankkiin.","A töltési energia ebbe az akkumulátorbankba kerül.",Daya pengisian daya yang masuk ke bank baterai ini.,"Į šį akumuliatorių banką tiekiama įkrovimo energija.","Uzlādes jauda, kas nonāk šajā akumulatoru bankā.",Er gaat laadstroom naar deze accubank.,"Puterea de încărcare care intră în acest acumulator.","Nabíjací výkon prichádzajúci do tejto batériovej banky.","Polnilna moč, ki se dovaja v to baterijsko banko.","Laddningsström går in i denna batteribank."
